Date,Bill_Gross_Issues,Bill_Net,Notes_Gross_Issues,Notes_Net,Bonds_Gross_Issues,Bonds_Net,TOTAL_Gross_Issues,Total_Net_Cash Raised,10-year issuance,Investment Grade,High Yield,Total
1/1/2004,312.3,-20.9,28,28,0,0,340.3,7.1,0,,,
2/1/2004,281.4,50.3,92.5,31,0,0,373.9,81.3,17.07,,,
3/1/2004,307.3,26.8,95.3,30.7,0,0,402.6,57.5,11,,,
4/1/2004,340,-51.5,59.3,26.7,0,0,399.3,-24.9,0,,,
5/1/2004,278.2,24.7,62.9,29.6,0,-8.3,341.1,45.9,17.29,,,
6/1/2004,304.3,-11.3,88.9,21.4,0,0,393.3,10.1,10,,,
7/1/2004,364,15.8,25,25,11,11,400,51.8,0,,,
8/1/2004,299.4,14.2,120.5,21.3,0,-4,419.9,31.5,15.72,,,
9/1/2004,384.7,-15.3,55.7,21,0,0,440.3,5.7,9,,,
10/1/2004,291.9,20.5,36,36,0,0,327.9,56.5,0,,,
11/1/2004,309.8,48.8,122.2,9.8,0,-12.5,431.9,46.1,16.47,,,
12/1/2004,363.1,-27.6,56,22.8,0,0,419.1,-4.8,9,,,
1/1/2005,256.5,-16.4,54,20.2,11,11,321.5,14.8,0,11.5,3.7,15.1
2/1/2005,295.7,43.9,87.7,38.6,0,-2.3,383.5,80.2,15.21,11.2,4.4,15.6
3/1/2005,404.8,28.2,56,20.8,0,0,460.8,49,9,11.1,4.2,15.3
4/1/2005,277.6,-67.8,33,33,0,0,310.6,-34.8,0,10,4.2,14.3
5/1/2005,234.9,-30.1,123,14.4,0,-7.2,357.9,-22.8,16.47,9.5,4.4,13.9
6/1/2005,337.4,-37.9,48.7,17,0,-0.1,386.1,-21.1,8,8.5,4.6,13.1
7/1/2005,272.4,18.8,22,22,6,6,300.4,46.8,0,8,4.1,12.1
8/1/2005,263.9,11,102.3,26.7,0,-9.3,366.2,28.4,14.47,6.7,3.7,10.5
9/1/2005,342.5,-39.1,47.6,16,0,0,390.1,-23,8,7.9,4.5,12.4
10/1/2005,266.4,22.3,54.6,22.2,0,0,321,44.5,0,7.8,5.8,13.6
11/1/2005,294.6,50.3,79.3,3.8,0,-4.1,373.9,50,15.22,7.8,4.9,12.6
12/1/2005,368.9,-23.1,21,21,0,0,389.9,-2.1,8,6.8,3.9,10.7
1/1/2006,255.3,-7.6,75.8,9.3,11.8,11.8,342.9,13.5,0,10.2,5.9,16.1
2/1/2006,284.1,43.3,80.2,30.6,14.8,10.1,379.1,84,13.84,9.4,5.6,15
3/1/2006,406.5,42.5,52.3,18,0,0,458.9,60.5,8,8.6,5.4,14
4/1/2006,266.9,-76.9,19,19,0,0,285.9,-57.9,0,9,5,14
5/1/2006,244.3,-10.6,130.1,-1.8,0,-3.5,374.4,-15.9,15.29,9.1,5,14.1
6/1/2006,336.8,-37.7,52,19.4,0,0,388.8,-18.3,8,8,4.4,12.4
7/1/2006,257.1,15.1,53.8,0.1,8.2,8.2,319.2,23.4,0,7.3,4,11.4
8/1/2006,377.9,29.6,82,22.3,11.6,11.6,471.5,63.4,14.56,7.9,4,11.9
9/1/2006,295.6,-50.8,8,8,0,0,303.6,-42.8,8,9.1,4.9,14
10/1/2006,236.4,18,99.5,15.8,0,0,335.9,33.8,0,9.3,4.4,13.6
11/1/2006,382.3,59.5,81.4,-10.5,0,-4,463.8,45,15.29,9.9,5,14.9
12/1/2006,289.3,-44.8,8,8,0,0,297.3,-36.8,8,8,3.8,11.8
1/1/2007,223.2,-12.1,90.1,9.1,9.2,9.2,322.5,6.2,0,11,5.7,16.7
2/1/2007,291.7,50,71.3,0.8,9.8,9.8,372.9,60.6,14.19,10,5.4,15.4
3/1/2007,437.5,51,8,8,0,0,445.5,59,8,9.7,4.7,14.4
4/1/2007,275.2,-89,94.4,30.4,0,0,369.6,-58.6,0,9.4,3.7,13.2
5/1/2007,293.8,-25,75.3,-19.7,6.8,6.8,375.8,-38,17.59,9.6,4.3,13.8
6/1/2007,271.3,-50,8,8,0,0,279.3,-42,8,9.3,4,13.2
7/1/2007,247.7,23,83.6,31.1,7.3,7.3,338.6,61.4,0,7.3,4.2,11.5
8/1/2007,469.5,122,58.4,-44,13.8,13.8,541.7,91.8,20,7.5,3.8,11.2
9/1/2007,272.1,-55.9,8,8,0,0,280.1,-47.9,8,8.6,4.1,12.7
10/1/2007,225.1,-20,90.4,37.2,0,0,315.5,17.2,0,7.2,3.8,11
11/1/2007,423.6,97,60.2,-17.1,7.6,-2.6,491.3,77.3,19.67,6.6,3.9,10.6
12/1/2007,311.6,-31.2,50.2,23.5,0,0,361.8,-7.7,8,7,3.6,10.6
1/1/2008,309,-19.5,53,4.1,9,9,371,-6.4,0,9,4.8,13.8
2/1/2008,411.9,141,65.9,-25.6,13.3,13.3,491.1,128.7,19.2,8.2,4.5,12.7
3/1/2008,375.5,33,62.6,35.7,0,0,438,68.7,10,7.9,3.9,11.8
4/1/2008,301.8,-132.7,68.2,41.4,0,0,370.1,-91.3,0,8.8,4.2,13
5/1/2008,425,93.5,23.1,-64.2,9.2,9.2,457.3,38.6,23.08,8.9,4.5,13.4
6/1/2008,312,-58.8,119.3,66.9,0,0,431.3,8.1,11,7.9,3.5,11.3
7/1/2008,436.4,75.3,65.7,39.3,6.7,6.7,508.8,121.3,0,6.7,3.3,10
8/1/2008,423.9,91.4,23.3,-18.3,13.7,1.8,461,74.9,23.34,5.7,2.6,8.3
9/1/2008,677,262.6,135.3,68.3,0,0,812.3,330.9,13.47,7.5,4.8,12.2
10/1/2008,993.2,419.8,113.8,75.1,0,0,1107,494.9,40,7.7,4.8,12.5
11/1/2008,570.4,94,53,-11.7,11.8,11.8,635.2,94,23.55,7.8,3.6,11.4
12/1/2008,391.4,-137,182.5,117.3,0,0,573.9,-19.7,16.48,8.2,3.4,11.6
1/1/2009,618.7,-68.1,58.5,21.6,8,8,685.2,-38.5,17.32,11.9,4.8,16.6
2/1/2009,527.4,187,128.7,66,14.7,14.7,670.8,267.7,22.07,11.4,4.3,15.6
3/1/2009,550.4,48,254.6,192.9,11.2,11.2,816.2,252.1,18.32,10.9,4.6,15.5
4/1/2009,553.8,-39,172.7,133.9,0,0,726.5,94.9,18.29,12.1,5,17.1
5/1/2009,585.3,70.9,67.1,6.9,16.5,12,668.9,89.7,25.89,13.5,6.2,19.7
6/1/2009,500.4,-58.9,266,206.4,11.1,11.1,777.5,158.6,19.2,14.1,5.2,19.3
7/1/2009,685.4,14,174.8,137.9,17.3,17.3,877.5,169.2,19.32,11.7,5.4,17.1
8/1/2009,557.4,48,181.6,91.2,17.3,12.9,756.3,152.1,26.55,10.9,4.8,15.7
9/1/2009,386.4,-76,172.1,135.1,12,12,570.6,71.2,20.04,11.9,5.9,17.9
10/1/2009,519.2,-134,73.5,58.5,12.1,12.1,604.8,-63.4,20.16,12.3,5.4,17.7
11/1/2009,409.4,-8,313.5,221.6,18,13,740.9,226.5,28.11,11.3,4.8,16.1
12/1/2009,523.7,-57,182.8,141.3,13.1,13.1,719.6,97.4,21.11,9.4,3.9,13.3
1/1/2010,286.4,-104,73.8,44.2,13.5,13.5,373.7,-46.3,21.82,13,6.7,19.7
2/1/2010,385.4,47,192.2,107.9,25.8,25.8,603.5,180.7,27.81,11.9,5.3,17.2
3/1/2010,489.5,107,304.6,228.7,13.2,13.2,807.2,348.9,21.25,12.4,5.8,18.2
4/1/2010,599.9,4,205.8,126,14,14,819.6,144,22.54,11.6,5.6,17.2
5/1/2010,466.4,8,67.4,29.7,17.4,17.4,551.2,55.1,26.09,10.6,5.7,16.2
6/1/2010,510.4,-73,284,204.4,13.1,13.1,807.5,144.5,21.12,10.3,4.3,14.6
7/1/2010,662.4,8,68,55,13,13,743.4,76,21.01,10.4,4.5,14.8
8/1/2010,548.4,35,273.4,166.9,24.1,24.1,845.9,226,25.44,11,4.3,15.3
9/1/2010,615.2,-37,167.8,117.7,13.1,13.1,796.2,93.8,21.23,11.8,5.4,17.1
10/1/2010,466.4,-20,63.5,50.5,13.1,13.1,543,43.6,21.18,11.6,5.3,16.9
11/1/2010,469.5,7,271.7,181.7,16.4,16.4,757.6,205.1,24.64,10.1,5,15.2
12/1/2010,599.8,-2.9,157.7,104,13.2,13.2,770.7,114.2,21.31,9.1,3.5,12.6
1/1/2011,468.4,-12,168.4,99.9,13.3,13.3,650.1,101.2,21.46,13.9,5.5,19.4
2/1/2011,458.4,-22,161.7,78.6,25.9,25.9,646,82.5,24.55,13.9,5.3,19.2
3/1/2011,583.8,-40,167.9,108.5,13,13,764.8,81.5,21,12.8,4.7,17.5
4/1/2011,424.4,-60,69.6,47.2,13.6,13.6,507.7,0.8,22.03,11.3,4.4,15.7
5/1/2011,373.5,-60,280.5,163.2,16,16,670,119.2,24,11.1,4.4,15.5
6/1/2011,482.4,-47,155.2,96.5,20.2,20.2,657.8,69.7,21,12,4.2,16.2
7/1/2011,361.4,-39,66,66,13,13,440.4,40,21,10.9,3.6,14.5
8/1/2011,430.5,1,274.1,126.8,16.5,16.5,721,144.3,24.73,11.3,4.3,15.7
9/1/2011,519.2,-16,166.4,105.2,13,13,698.7,102.2,21,10.6,3.8,14.4
10/1/2011,397.4,5,155.8,94.5,20.3,20.3,573.5,119.8,21,11.4,4.3,15.6
11/1/2011,407.4,30,175.3,83.5,17.2,17.2,599.9,130.7,25.84,9.2,3.3,12.5
12/1/2011,494.8,8,66.9,38.1,13.5,13.5,575.2,59.6,21.77,8.3,2.8,11.1
1/1/2012,387.4,4.9,275.1,113.9,13.9,13.9,676.4,132.7,22.49,13.2,4.9,18.1
2/1/2012,466.4,85,163.2,43.1,27.1,27.1,656.7,155.1,26.93,14,5.8,19.8
3/1/2012,577.9,64,69.7,35.1,13.9,13.9,661.4,113,22.46,13.2,5.2,18.4
4/1/2012,400.4,-61,282.1,104,15.4,15.4,697.9,58.3,24.82,11.4,4.5,16
5/1/2012,512.4,-8,171.5,71.2,17,17,700.9,80.2,25.5,11.8,5.2,17
6/1/2012,391.4,-9,56.7,21.4,20.9,20.9,469.1,33.3,22.48,11.4,4.3,15.7
7/1/2012,373,-15.4,267,89.8,13,13,653,87.4,21,10,4.3,14.3
8/1/2012,590,82,169,52.6,16,16,775,150.7,24,9.7,4.2,13.9
9/1/2012,460,-47,66,27.9,13,13,539,-6.1,21,12.5,5.8,18.3
10/1/2012,425,6,251,107.5,20,20,696,133.5,21,11.5,5.3,16.8
11/1/2012,580,73,168,52.6,16,16,764,141.6,24,10.1,5.2,15.2
12/1/2012,460,-66,166,73.4,13,13,639,20.4,21,8.2,4.1,12.3
1/1/2013,500,-21,167,74,13,13,680,66,21,14.4,6.5,20.9
2/1/2013,535,134,155,36.3,25,25,715,195.3,24,13.6,5.6,19.3
3/1/2013,495,49,66,25.5,13,13,574,87.5,21,12.5,5.8,18.3
4/1/2013,455,-96,269,94.6,13,13,737,11.6,21,12.6,5.7,18.2
5/1/2013,477,-88,168,50,16,16,661,-22.1,24,13.9,6.2,20
6/1/2013,400,-37,53,16.8,20,20,473,-0.2,21,13.3,6.2,19.5
7/1/2013,385,-14,266,88,13,13,664,87,21,11.2,4.8,16
8/1/2013,585,82,72,2.4,16,16,673,100.4,24,9.3,3.9,13.2
9/1/2013,462,-108,260,104.4,13,13,735,9.4,21,14.5,6.1,20.5
10/1/2013,577,15,147,53.3,20,20,744,88.3,21,12.8,6,18.8
11/1/2013,449,76,67,3.5,16,16,532,95.5,24,12.1,5.9,17.9
12/1/2013,396,-29,259,95.9,13,13,668,79.9,21,10.7,4.8,15.4
1/1/2014,363,-106,177,50.8,13,13,553,-42.1,21,14.3,6.4,20.7
2/1/2014,438,128,163.3,33.2,25,25,626.3,186.3,24,14.2,6.6,20.7
3/1/2014,374,38,173,69.6,13,13,560,120.6,21,14.3,6.8,21.1
4/1/2014,317,-193,180,57.4,13,13,510,-122.6,21,13.6,6.9,20.5
5/1/2014,480,-10,79,19.7,16,16,575,25.7,24,13.1,7.5,20.7
6/1/2014,362,-61,251,74.4,20,20,633,33.4,21,12.5,7,19.5
7/1/2014,445,22,171,40.1,13,13,629,75.1,21,11.5,6.8,18.4
8/1/2014,429,42,80,22.3,16,16,525,80.3,24,10.3,5.9,16.2
9/1/2014,380,-41,260,77.1,13,13,653,49.1,21,13.2,8.3,21.5
10/1/2014,443,3,156,47,20,20,619,69.9,21,13.8,8,21.8
11/1/2014,391,26,76.1,16.1,16,16,483.1,58.1,24.03,13.2,6.8,19.9
12/1/2014,393,18,258,68.3,13,13,664,99.3,21,11.3,6.2,17.5
1/1/2015,415,-45,60,2.2,13,13,488,-29.8,21,15.1,8.2,23.2
2/1/2015,393,60,166,18.2,25,14.5,584,92.7,24,17.2,8.6,25.7
3/1/2015,379,5,251,60.3,13,13,643,78.3,21,14.8,8.1,22.9
4/1/2015,450,-45,168.4,29.8,13,13,631.4,-2.2,21,13.9,7.9,21.8
5/1/2015,377,14,75.1,6.6,16.4,16.4,468.4,37,24.54,14.5,7.5,22
6/1/2015,367,-52,238,53.7,20,20,625,21.8,21,14,6.5,20.5
7/1/2015,460,45,165,39,13,13,638,97,21,12.7,6.6,19.3
8/1/2015,399,-16,168,32.6,16.3,12.3,583.3,28.9,24.48,12.5,6.1,18.6
9/1/2015,342,-66,161,59.9,13,13,516,6.9,21,13.5,7.1,20.6
10/1/2015,315,-85,45,13,20,20,380,-52,21,14.7,8.1,22.8
11/1/2015,488,233,269.2,77.9,16.1,10.5,773.3,321.4,24.12,12.6,7.1,19.7
12/1/2015,509,8,164,63.2,13,13,686,84.2,21,10.2,6.2,16.4
1/1/2016,438,-36,60,7.6,13,13,511,-15.4,21,16.5,8.8,25.3
2/1/2016,506,74,288.1,33.4,25.5,20.1,819.6,127.5,24.81,16.8,9.5,26.2
3/1/2016,635,66,179.6,53.9,12,12,826.6,131.9,20,17.8,10,27.8
4/1/2016,368,-91,60.3,-12.9,12.1,12.1,440.4,-91.8,20.14,16.8,8.2,25
5/1/2016,418,-3,325.2,37,18.4,-0.4,761.6,33.6,28.2,14.9,9.2,24
6/1/2016,530,-16,157.8,31.9,17.7,17.7,705.5,33.6,20,14.3,8.6,22.9
7/1/2016,470,42,59.9,4.1,12.8,12.8,542.6,58.9,21.3,15.5,8.5,24.1
8/1/2016,526,83,284,0.8,16.5,16.5,826.5,100.3,25.36,14.2,7.1,21.3
9/1/2016,593,14,162.8,37.2,12,12,767.8,63.2,20,14.4,8.1,22.5
10/1/2016,507,106,153.2,-14.9,17.3,17.3,677.5,108.4,20,14.8,8.3,23.1
11/1/2016,566,120,179.8,29,18.3,-0.5,764.1,148.5,28.04,15.9,7.5,23.4
12/1/2016,574,-55,71,41,12,12,657,-2,20,13.1,5.7,18.8
1/1/2017,448,-56,269.5,-12.4,12.7,12.7,730.2,-55.7,21.11,19.5,8.9,28.4
2/1/2017,488,-9,165.6,19.2,24.7,24.7,678.3,34.8,25.66,19.7,8.9,28.6
