Date,GDP,CSUSHPINSA,CPIAUCSL,GDPC1,INDPRO,PAYNSA,PCE,PSAVERT,RECPROUSM156N,TERMCBAUTO48NS,TOTBKCR,TOTCI,TOTLL,UNRATE,USROE,WM1NS,WM2NS,TB3MS,STLFSI
2004-01-01,11920.169,140.711,186.3,14221.147,95.1113,128726.0,7987.4,5.0,0.1,,,,,,,,,,
2004-04-01,12108.987,146.18200000000002,187.4,14329.523,95.6346,131494.0,8088.6,5.3,0.1,,,,,,,,,,
2004-07-01,12303.34,152.335,189.1,14464.984,96.3379,131682.0,8218.9,5.3,0.2,,,,,,,,,,
2004-10-01,12522.425,156.299,190.8,14609.876,97.4107,133398.0,8374.6,4.5,0.0,,,,,,,,,,
2005-01-01,12761.337,160.136,191.6,14771.602,98.7904,130713.0,8470.2,3.7,0.3,,,,,,,,,,
2005-04-01,12910.022,167.0,193.7,14839.782,99.4648,133589.0,8645.6,3.1,0.0,,,,,,,,,,
2005-07-01,13142.873,174.09599999999998,194.9,14972.054,99.6737,134011.0,8829.5,2.2,0.7,,,,,,,,,,
2005-10-01,13332.316,178.755,199.1,15066.597,99.3185,135617.0,8926.6,3.1,0.2,,,,,,,,,,
2006-01-01,13603.933,180.833,199.3,15267.026,101.0637,133320.0,9059.8,4.2,0.1,,,,,,,,,,
2006-04-01,13749.806,183.65,200.7,15302.705,101.6854,136140.0,9174.8,4.0,0.2,,,,,,,,,,
2006-07-01,13867.469,184.614,202.9,15326.368,101.9374,136273.0,9322.6,3.4,0.1,,,,,,,,,,
2006-10-01,14037.228,184.06099999999998,201.9,15456.928,102.0653,137849.0,9373.2,3.6,0.1,,,,,,,,,,
2007-01-01,14208.569,182.722,203.437,15493.328,102.4915,135334.0,9516.3,3.7,0.2,,,,,,,,,,
2007-04-01,14382.363,182.138,205.904,15582.085,104.5018,137730.0,9615.7,4.2,0.1,,,,,,,,,,
2007-07-01,14535.003,181.00099999999998,207.603,15666.738,104.5217,137778.0,9709.6,3.7,0.6,,,,,,,,,,
2007-10-01,14681.501,177.54,209.19,15761.967,104.7167,139198.0,9827.0,3.4,1.4,,,,,,,,,,
2008-01-01,14651.039,171.085,212.174,15671.383,105.073,136268.0,9930.0,3.7,24.2,,,,,,,,,,
2008-04-01,14805.611,167.329,213.942,15752.308,103.6727,137914.0,9996.8,3.4,74.2,,,,,,,,,,
2008-07-01,14835.187,165.726,219.016,15667.032,102.2939,137203.0,10104.7,4.4,96.2,,,,,,,,,,
2008-10-01,14559.543,159.17,216.995,15328.027,97.2844,137442.0,9960.3,5.5,90.3,,9132.7699,1559.398,6953.316,6.5,1.62,,,,
2009-01-01,14394.547,149.371,211.933,15155.94,91.0332,132042.0,9783.8,6.2,100.0,,,,,,,,,,
2009-04-01,14352.85,146.954,212.709,15134.117,88.2959,131859.0,9724.8,6.8,97.7,,9005.901,1502.7434,6830.5106,9.0,0.53,,,,
2009-07-01,14420.312,150.755,214.726,15189.222,88.0285,130353.0,9841.7,6.0,3.4,,9006.2068,1416.4994,6748.1856,9.5,0.75,,,,
2009-10-01,14628.021,148.589,216.509,15356.058,89.9906,131188.0,9931.9,5.4,0.3,,,,,,,,,,
2010-01-01,14721.35,145.003,217.488,15415.145,91.6849,127820.0,10001.8,6.1,0.0,,,,,,,,,,
2010-04-01,14926.098,145.39600000000002,217.403,15557.277,92.96,130212.0,10112.9,6.4,0.0,,,,,,,,,,
2010-07-01,15079.917,147.548,217.605,15671.967,94.836,130111.0,10184.7,6.8,0.3,,,,,,,,,,
2010-10-01,15240.843,143.125,219.035,15750.625,95.0991,131641.0,10304.7,6.6,0.1,,,,,,,,,,
2011-01-01,15285.828,139.047,221.187,15712.754,95.9363,128778.0,10435.5,7.4,0.0,,,,,,,,,,
2011-04-01,15496.189,139.154,224.093,15825.096,96.1325,131715.0,10587.6,6.9,0.2,,,,,,,,,,
2011-07-01,15591.85,142.329,225.395,15820.7,97.1011,131615.0,10677.5,7.3,0.0,,,,,,,,,,
2011-10-01,15796.46,138.4,226.75,16004.107,98.2931,133558.0,10753.1,6.8,0.0,,,,,,,,,,
2012-01-01,16019.758,134.166,227.842,16129.418,99.3672,131113.0,10862.1,8.0,0.0,,,,,,,,,,
2012-04-01,16152.257,138.483,229.187,16198.807,99.9173,133854.0,10979.7,8.7,0.0,,,,,,,,,,
2012-07-01,16257.151,144.286,228.59,16220.667,100.3144,133795.0,10977.2,8.2,0.1,,,,,,,,,,
2012-10-01,16358.863,143.977,231.638,16239.138,100.1192,135649.0,11099.8,8.8,0.0,,,,,,,,,,
2013-01-01,16569.591,144.317,231.679,16382.964,100.8779,133081.0,11202.8,6.3,2.9,,,,,,,,,,
2013-04-01,16637.926,150.977,231.797,16403.18,101.695,135923.0,11205.4,6.4,0.2,,,,,,,,,,
2013-07-01,16848.748,158.308,232.9,16531.685,101.446,136052.0,11296.7,6.6,0.4,,,,,,,,,,
2013-10-01,17083.137,159.571,233.669,16663.649,102.5438,138019.0,11419.8,6.3,0.1,,,,,,,,,,
2014-01-01,17102.932,159.398,235.288,16621.696,102.7053,135488.0,11512.5,7.1,0.2,,9845.3419,1583.4305,7116.8926,6.6,8.82,,,,
2014-04-01,17425.766,163.0,236.468,16830.111,104.7423,138325.0,11702.6,7.4,0.0,,,,,,,,,,
2014-07-01,17719.836,167.15599999999998,237.498,17033.572,105.5609,138745.0,11860.5,7.5,0.1,,,,,,,,,,
2014-10-01,17838.454,166.93400000000003,237.43,17113.945,105.8154,140866.0,12023.0,7.2,0.0,,10376.486,1727.7284,7490.3544,5.7,8.89,,,,
2015-01-01,17970.422,166.295,234.718,17254.744,105.8772,138511.0,12046.0,7.7,0.8,,,,,,,,,,
2015-04-01,18221.299,170.016,236.156,17397.029,104.5604,141283.0,12193.8,7.6,0.7,,10841.2563,1843.9489,7826.9428,5.4,9.29,,,,
2015-07-01,18331.093,174.535,238.053,17438.802,104.2443,141747.0,12355.4,7.6,0.3,,11000.5026,1889.4363,7957.339,5.2,9.22,,,,
2015-10-01,18354.372,175.11599999999999,237.781,17456.225,103.3569,143645.0,12416.1,7.6,0.9,,,,,,,,,,
2016-01-01,18409.13,175.114,237.833,17523.374,103.0314,141088.0,12482.2,7.7,0.5,,,,,,,,,,
2016-04-01,18640.732,178.55900000000003,238.827,17622.486,101.7479,143909.0,12646.1,7.0,0.6,,,,,,,,,,
2016-07-01,18799.648,183.123,240.15,17706.705,102.1435,144248.0,12790.1,6.4,0.1,,,,,,,,,,
2016-10-01,18979.245,184.15200000000002,241.691,17784.185,102.0557,146049.0,12944.5,6.4,0.2,,,,,,,,,,
2017-01-01,19162.55,184.805,243.78,17863.023,102.5393,143393.0,13098.6,6.7,0.2,,,,,,,,,,
